MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-01960-7502,899-R1,300 WEST 137 STREET,1,10030,40.817879,-73.945811,10,9,"22,102","1,084,478","1,019,607,502",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R2-WALK-UP,28,"1,994","41,964","923,208",22,"4,009,994",96,1-01993-0088,3157 BROADWAY,MORNINGSIDE HEIGHTS,C7-WALK-UP,48,"1,905","32,961","640,179",19.42,"2,780,000",84,0.7,1-02076-0049,524 WEST 145 STREET,HARLEM-UPPER,C7-WALK-UP,48,"1,920","64,560","1,411,552",21.86,"6,130,000",95,0.55
1-01988-7501,1273-R1,519 WEST 135 STREET,1,10031,40.819263,-73.952963,9,7,"22,301","1,086,152","1,019,887,501",Manhattanville                                                             ,HARLEM-WEST,R4-ELEVATOR,13,"2,002","21,862","743,308",34,"3,560,001",163,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3-ELEVATOR,16,"2,002","17,506","733,099",41.9,"3,680,000",210,2.05,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,"2,004","23,553","815,004",34.6,"3,900,000",166,1.7
1-01988-7502,1565-R1,504 WEST 136 STREET,1,10031,40.81977,-73.952241,9,7,"22,301","1,087,307","1,019,887,502",Manhattanville                                                             ,HARLEM-WEST,R4-ELEVATOR,29,"2,006","31,308","1,064,472",34,"5,099,999",163,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3-ELEVATOR,16,"2,002","17,506","733,099",41.9,"3,680,000",210,2.05,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,"2,004","23,553","815,004",34.6,"3,900,000",166,1.7
1-01995-7501,457-R1,31 TIEMANN PLACE,1,10027,40.815373,-73.959306,9,7,211,"1,075,481","1,019,957,501",Morningside Heights                                                        ,MORNINGSIDE HEIGHTS,R9-CONDOPS,48,"1,926","37,103","816,266",22,"3,740,000",101,1-02088-0029,3441 BROADWAY,HARLEM-UPPER,D7-ELEVATOR,37,"1,910","42,860","656,580",15.32,"2,600,000",61,0.6,,,,,,,,,,,,
1-02023-7503,874-R1,297 WEST 137 STREET,1,10030,40.817615,-73.945139,10,9,228,"1,083,074","1,020,237,503",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R2-WALK-UP,28,"1,993","30,976","681,472",22,"2,960,000",96,1-01594-0040,1316 5 AVENUE,HARLEM-CENTRAL,C7-WALK-UP,31,"1,915","25,721","538,570",20.94,"2,340,000",91,1.4,1-01826-0006,241 CENTRAL PARK NORTH,HARLEM-CENTRAL,C1-WALK-UP,30,"1,900","21,114","561,623",26.6,"2,440,000",116,1.35
1-02034-7501,1365-R1,255 WEST 148 STREET,1,10039,40.824227,-73.939223,10,9,234,"1,087,990","1,020,347,501",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R9-CONDOPS,104,"1,920","143,389","4,014,892",28,"18,400,000",128,1-01595-0001,20 LENOX AVENUE,HARLEM-CENTRAL,D1-ELEVATOR,118,"1,920","142,639","2,942,706",20.63,"12,800,000",90,1.9,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,2.75
1-02041-7502,900-R1,300 WEST 138 STREET,1,10030,40.818504,-73.945355,10,9,"22,102","1,084,485","1,020,417,502",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R2-WALK-UP,28,"1,994","36,188","796,136",22,"3,460,007",96,1-01993-0088,3157 BROADWAY,MORNINGSIDE HEIGHTS,C7-WALK-UP,48,"1,905","32,961","640,179",19.42,"2,780,000",84,0.75,1-02076-0049,524 WEST 145 STREET,HARLEM-UPPER,C7-WALK-UP,48,"1,920","64,560","1,411,552",21.86,"6,130,000",95,0.5
1-02041-7503,1716-R1,2605 FRED DOUGLASS BOULEV,1,,,,,,,,,,HARLEM-CENTRAL,R4-ELEVATOR,14,"1,894","18,306","640,710",35,"3,069,999",168,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3-ELEVATOR,16,"2,002","17,506","733,099",41.9,"3,680,000",210,1.95,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,"2,004","23,553","815,004",34.6,"3,900,000",166,1.6
1-02042-7502,974-R1,2611 FRED DOUGLASS BOULEV,1,,,,,,,,,,HARLEM-CENTRAL,R2-WALK-UP,47,"1,896","76,584","1,684,848",22,"7,320,009",96,1-01993-0088,3157 BROADWAY,MORNINGSIDE HEIGHTS,C7-WALK-UP,48,"1,905","32,961","640,179",19.42,"2,780,000",84,0.85,1-02076-0049,524 WEST 145 STREET,HARLEM-UPPER,C7-WALK-UP,48,"1,920","64,560","1,411,552",21.86,"6,130,000",95,0.45
1-02044-7501,1422-R1,300 WEST 145 STREET,1,10039,40.822892,-73.942071,10,9,259,"1,060,788","1,020,447,501",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R9-CONDOPS,128,"2,003","212,047","6,361,410",30,"29,100,000",137,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,2.55,1-01672-0017,327 EAST 100 STREET,HARLEM-EAST,D6-ELEVATOR,236,"2,003","250,090","5,686,466",22.74,"24,700,000",99,2.5
1-02045-7501,1640-R1,68 BRADHURST AVENUE,1,10039,40.823611,-73.942641,10,9,259,"1,087,463","1,020,457,501",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,180,"2,005","204,835","6,145,050",30,"29,400,016",144,1-01672-0017,327 EAST 100 STREET,HARLEM-EAST,D6-ELEVATOR,236,"2,003","250,090","5,686,466",22.74,"24,700,000",99,2.55,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,2.6
1-02045-7502,1717-R1,102 BRADHURST AVENUE,1,10039,40.824731,-73.941813,10,9,259,"1,087,464","1,020,457,502",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R9-CONDOPS,135,"2,005","164,085","4,922,550",30,"20,800,000",127,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,2.7,1-01672-0017,327 EAST 100 STREET,HARLEM-EAST,D6-ELEVATOR,236,"2,003","250,090","5,686,466",22.74,"24,700,000",99,2.65
1-02051-7501,1327-R1,330 WEST 145 STREET,1,10039,40.823461,-73.943425,9,9,227,"1,086,223","1,020,517,501",Hamilton Heights                                                           ,HARLEM-CENTRAL,R9-CONDOPS,77,"2,001","91,858","2,755,740",30,"12,600,000",137,1-01617-0001,1321 5 AVENUE,HARLEM-EAST,D7-ELEVATOR,77,"1,989","102,811","2,986,399",29,"14,300,000",139,1.75,1-01595-0031,1330 5 AVENUE,HARLEM-CENTRAL,D7-ELEVATOR,88,"1,989","113,070","2,966,550",26.2,"12,900,000",114,1.7
1-02066-7501,561-R1,443 WEST 151 STREET,1,10031,40.828566,-73.943728,9,7,"23,501","1,083,670","1,020,667,501",Hamilton Heights                                                           ,HARLEM-UPPER,R2-WALK-UP,38,"1,926","25,050","551,100",22,"2,390,004",95,1-02076-0049,524 WEST 145 STREET,HARLEM-UPPER,C7-WALK-UP,48,"1,920","64,560","1,411,552",21.86,"6,130,000",95,0.4,1-01993-0088,3157 BROADWAY,MORNINGSIDE HEIGHTS,C7-WALK-UP,48,"1,905","32,961","640,179",19.42,"2,780,000",84,1.3
1-02067-7502,9823-R2,479 WEST 152 STREET,1,10031,40.829323,-73.943594,9,7,"23,501","1,061,608","1,020,677,501",Hamilton Heights                                                           ,HARLEM-UPPER,R4-ELEVATOR,20,"1,920","17,565","526,950",30,"2,520,004",143,1-01708-0022,265 PLEASANT AVENUE,HARLEM-EAST,D7-ELEVATOR,19,"1,900","16,544","448,576",27.1,"2,150,000",130,2.45,1-01676-0031,346 EAST 105 STREET,HARLEM-EAST,D9-ELEVATOR,16,"1,900","16,134","546,191",33.9,"2,620,000",162,2.8
1-02079-7501,1490-R1,529 WEST 147 STREET,1,10031,40.826943,-73.947614,9,7,233,"1,087,115","1,020,797,501",Hamilton Heights                                                           ,HARLEM-UPPER,R4-ELEVATOR,12,"2,005","12,000","480,000",40,"2,409,999",201,1-01831-0056,246 WEST 116 STREET,HARLEM-CENTRAL,D7-ELEVATOR,12,"2,005","11,430","433,351",37.9,"2,170,000",190,1.7,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3-ELEVATOR,16,"2,002","17,506","733,099",41.9,"3,680,000",210,2.55
