MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00432-7502,840-R1,89 AVENUE A,1,10009,40.725278,-73.984115,3,2,32,"1,005,763","1,004,327,502",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,26,"1,900","21,586","505,000",23.39,"2,130,000",99,1-00411-0045,144 LUDLOW STREET,LOWER EAST SIDE,D1-ELEVATOR,52,"1,900","34,904","825,340",23.65,"3,580,000",103,0.35,1-00434-0053,409 EAST 6 STREET,EAST VILLAGE,D1-ELEVATOR,24,"1,920","12,786","277,934",21.74,"1,210,000",95,0.05
1-00434-7501,642-R1,103 AVENUE A,1,10009,40.725796,-73.983736,3,2,32,"1,005,793","1,004,347,501",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,20,"1,920","11,229","310,000",27.6,"1,480,000",132,1-00394-0063,611 EAST 11 STREET,ALPHABET CITY,D9-ELEVATOR,28,"1,910","14,252","338,357",23.74,"1,470,000",103,0.35,1-00378-0035,119 AVENUE D,ALPHABET CITY,D6-ELEVATOR,20,"1,900","20,671","481,190",23.28,"2,090,000",101,0.4
1-00438-7502,1207-R1,416 EAST 11 STREET,1,10009,40.72912,-73.983421,3,2,34,"1,005,937","1,004,387,502",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,13,"2,001","15,742","580,000",36.8,"2,909,998",185,1-00437-0009,254 EAST 10 STREET,EAST VILLAGE,D9-ELEVATOR,25,"1,990","12,264","454,637",37.1,"2,280,000",186,0.05,1-00420-0045,150 FORSYTH STREET,LOWER EAST SIDE,D7-ELEVATOR,11,"1,995","10,000","257,000",25.7,"1,120,000",112,0.7
1-00440-7502,1264-R1,407 EAST 12 STREET,1,10009,40.72979,-73.982988,3,2,34,"1,086,103","1,004,407,502",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,27,"1,900","30,363","915,000",30.1,"4,380,000",144,1-00411-0045,144 LUDLOW STREET,LOWER EAST SIDE,D1-ELEVATOR,52,"1,900","34,904","825,340",23.65,"3,580,000",103,0.7,1-00445-0055,59 EAST 3 STREET,EAST VILLAGE,D9-ELEVATOR,82,"1,910","28,314","790,428",27.9,"3,790,000",134,0.45
1-00440-7503,1503-R1,431 EAST 12 STREET,1,10009,40.729543,-73.9824,3,2,34,"1,082,612","1,004,407,503",East Village                                                               ,EAST VILLAGE,R2-WALK-UP,13,"1,900","20,099","510,000",25.4,"2,210,002",110,1-00443-0009,51 EAST 2 STREET,EAST VILLAGE,C1-WALK-UP,20,"1,910","19,565","477,361",24.4,"2,070,000",106,0.55,1-00444-0014,50 EAST 3 STREET,EAST VILLAGE,C1-WALK-UP,24,"1,910","17,310","442,579",25.6,"1,920,000",111,0.5
1-00441-7501,292-R1,224 1 AVENUE,1,10009,40.730937,-73.982851,3,2,34,"1,006,025","1,004,417,501",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,40,"1,911","25,528","815,000",31.9,"3,899,996",153,1-00411-0045,144 LUDLOW STREET,LOWER EAST SIDE,D1-ELEVATOR,52,"1,900","34,904","825,340",23.65,"3,580,000",103,0.75,1-00414-0050,77 DELANCEY STREET,LOWER EAST SIDE,D5-ELEVATOR,20,"1,914","21,200","657,995",31,"3,150,000",149,0.95
1-00441-7503,1766-R1,421 EAST 13 STREET,1,10009,40.730388,-73.982418,3,2,34,"1,087,654","1,004,417,503",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,96,"2,006","93,382","4,100,000",43.9,"20,599,999",221,1-00602-0010,600 WASHINGTON STREET,GREENWICH VILLAGE-WEST,D6-ELEVATOR,137,"2,003","109,060","5,481,138",50,"27,500,000",252,1.45,1-01041-0019,311 WEST 50 STREET,MIDTOWN WEST,D6-ELEVATOR,104,"2,001","79,050","4,016,445",51,"20,100,000",254,2.25
1-00444-7501,271-R1,72 EAST 3 STREET,1,10003,40.725034,-73.988599,3,2,"3,602","1,006,142","1,004,447,501",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,20,"1,900","17,225","550,000",31.9,"2,629,994",153,1-00414-0050,77 DELANCEY STREET,LOWER EAST SIDE,D5-ELEVATOR,20,"1,914","21,200","657,995",31,"3,150,000",149,0.45,1-00434-0051,411 EAST 6 STREET,EAST VILLAGE,D1-ELEVATOR,24,"1,920","13,170","393,330",29.9,"1,880,000",143,0.25
1-00446-7501,695-R1,125 EAST 4 STREET,1,10003,40.725552,-73.987881,3,2,38,"1,006,220","1,004,467,501",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,28,"2,004","17,793","640,000",36,"3,040,000",171,1-00379-0020,422 EAST 10 STREET,ALPHABET CITY,D1-ELEVATOR,11,"2,003","9,150","234,499",25.6,"1,020,000",111,0.6,1-00437-0009,254 EAST 10 STREET,EAST VILLAGE,D9-ELEVATOR,25,"1,990","12,264","454,637",37.1,"2,280,000",186,0.25
1-00446-7502,705-R1,99 EAST 4 STREET,1,10003,40.725929,-73.988787,3,2,38,"1,006,221","1,004,467,502",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,66,"1,920","67,764","2,030,000",30,"9,300,000",137,1-00411-0045,144 LUDLOW STREET,LOWER EAST SIDE,D1-ELEVATOR,52,"1,900","34,904","825,340",23.65,"3,580,000",103,0.35,1-00445-0055,59 EAST 3 STREET,EAST VILLAGE,D9-ELEVATOR,82,"1,910","28,314","790,428",27.9,"3,790,000",134,0.05
1-00447-7501,777-R1,83 1 AVENUE,1,10003,40.725873,-73.986546,3,2,38,"1,077,683","1,004,477,501",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,20,"1,900","11,574","340,000",29.4,"1,560,000",135,1-00434-0053,409 EAST 6 STREET,EAST VILLAGE,D1-ELEVATOR,24,"1,920","12,786","277,934",21.74,"1,210,000",95,0.15,1-00434-0051,411 EAST 6 STREET,EAST VILLAGE,D1-ELEVATOR,24,"1,920","13,170","393,330",29.9,"1,880,000",143,0.15
1-00451-7502,1231-R1,240 EAST 10 STREET,1,10003,40.728967,-73.984922,3,2,40,"1,085,794","1,004,517,502",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,35,"1,999","62,556","2,390,000",38.2,"11,999,995",192,1-00372-0060,274 EAST 2 STREET,ALPHABET CITY,D7-ELEVATOR,103,"1,997","80,500","2,692,536",33.4,"12,900,000",160,0.65,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,"1,986","86,746","4,543,562",52,"22,800,000",263,0.5
1-00462-7501,901-R1,24 EAST 7 STREET,1,10003,40.728446,-73.989234,3,2,38,"1,084,906","1,004,627,501",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,34,"1,991","36,693","1,290,000",35.2,"6,130,000",167,1-00372-0060,274 EAST 2 STREET,ALPHABET CITY,D7-ELEVATOR,103,"1,997","80,500","2,692,536",33.4,"12,900,000",160,0.7,1-00420-0045,150 FORSYTH STREET,LOWER EAST SIDE,D7-ELEVATOR,11,"1,995","10,000","257,000",25.7,"1,120,000",112,0.55
1-00463-7501,224-R1,63 COOPER SQUARE,1,10003,40.729104,-73.990208,3,2,38,"1,006,698","1,004,637,501",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,36,"1,984","24,528","1,100,000",44.8,"5,519,998",225,1-00437-0009,254 EAST 10 STREET,EAST VILLAGE,D9-ELEVATOR,25,"1,990","12,264","454,637",37.1,"2,280,000",186,0.3,1-00481-0019,54 SPRING STREET,LITTLE ITALY,D9-ELEVATOR,11,"1,998","13,973","726,974",52,"3,650,000",261,0.6
1-00464-7501,643-R1,214 EAST 9 STREET,1,10003,40.729694,-73.988447,3,2,38,"1,006,741","1,004,647,501",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,14,"1,900","14,650","470,000",32.1,"2,250,000",154,1-00452-0039,237 EAST 10 STREET,EAST VILLAGE,D1-ELEVATOR,28,"1,920","11,214","424,920",37.9,"2,130,000",190,0.15,1-00468-0013,208 EAST 13 STREET,EAST VILLAGE,D5-ELEVATOR,13,"1,930","14,022","402,000",28.7,"1,930,000",138,0.2
1-00465-7501,1972-R1,38 STUYVESANT STREET,1,10003,40.729966,-73.98788,3,2,40,"1,006,790","1,004,657,501",East Village                                                               ,EAST VILLAGE,R2-WALK-UP,12,"1,900","14,269","438,771",30.7,"2,100,001",147,1-00445-0018,104 EAST 4 STREET,EAST VILLAGE,C1-WALK-UP,30,"1,900","14,459","453,597",31.4,"2,170,000",150,0.3,1-00449-0021,64 ST MARK'S PLACE,EAST VILLAGE,C4-WALK-UP,26,"1,900","11,814","356,667",30.2,"1,710,000",145,0.15
1-00466-7501,1804-R1,47 3 AVENUE,1,10003,40.730809,-73.988977,3,2,40,"1,087,710","1,004,667,501",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,28,"2,006","30,662","1,475,000",48.1,"7,350,000",240,1-00385-0022,234 EAST 3 STREET,ALPHABET CITY,D1-ELEVATOR,20,"2,001","13,517","580,084",42.9,"2,910,000",215,0.65,1-00717-0077,460 WEST 20 STREET,CHELSEA,D7-ELEVATOR,75,"1,999","68,260","3,118,713",45.7,"15,600,000",229,1.3
1-00468-7501,203-R1,193 2 AVENUE,1,10003,40.731119,-73.985849,3,2,40,"1,006,882","1,004,687,501",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,16,"1,900","21,607","570,000",26.4,"2,610,000",121,1-00468-0013,208 EAST 13 STREET,EAST VILLAGE,D5-ELEVATOR,13,"1,930","14,022","402,000",28.7,"1,930,000",138,0,1-00411-0045,144 LUDLOW STREET,LOWER EAST SIDE,D1-ELEVATOR,52,"1,900","34,904","825,340",23.65,"3,580,000",103,0.75
1-00469-7501,390-R1,105 3 AVENUE,1,10003,40.732502,-73.987743,3,2,40,"1,066,698","1,004,697,501",East Village                                                               ,EAST VILLAGE,R4-ELEVATOR,16,"1,920","12,192","365,000",29.9,"1,749,995",144,1-00420-0045,150 FORSYTH STREET,LOWER EAST SIDE,D7-ELEVATOR,11,"1,995","10,000","257,000",25.7,"1,120,000",112,0.85,1-00378-0035,119 AVENUE D,ALPHABET CITY,D6-ELEVATOR,20,"1,900","20,671","481,190",23.28,"2,090,000",101,0.75
1-00469-7502,493-R1,105 3 AVENUE,1,10003,40.732502,-73.987743,3,2,40,"1,066,698","1,004,697,501",East Village                                                               ,EAST VILLAGE,R9-CONDOPS,155,"1,964","113,930","3,700,000",32.5,"17,700,000",155,1-00913-0001,471 3 AVENUE,MURRAY HILL,D6-ELEVATOR,311,"1,972","351,560","12,168,616",34.6,"58,300,000",166,0.95,1-00559-0009,92 PARK AVENUE SOUTH,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,220,"1,964","184,645","8,330,000",45.1,"41,800,000",226,0.15
1-00470-7501,564-R1,122 ELIZABETH STREET,1,10013,40.71932,-73.995469,2,1,41,"1,075,930","1,004,707,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,28,"1,988","21,442","653,981",30.5,"3,129,999",146,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1-ELEVATOR,36,"1,910","11,967","389,334",32.5,"1,860,000",155,0.05,1-00495-0022,249 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,76,"1,986","41,182","2,144,994",52,"10,800,000",262,0.25
1-00472-7501,586-R1,240 CENTRE STREET,1,10013,40.720154,-73.998207,2,1,41,"1,075,959","1,004,727,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R9-CONDOPS,55,"1,905","104,637","2,302,014",22,"9,720,000",93,1-00343-0050,203 RIVINGTON STREET,LOWER EAST SIDE,D5-ELEVATOR,71,"1,906","99,911","1,865,388",18.67,"7,380,000",74,0.8,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,"1,900","49,408","1,935,888",39.2,"9,710,000",197,1
1-00473-7502,1179-R1,30 CROSBY STREET,1,10013,40.720895,-73.999491,2,1,45,"1,079,134","1,004,737,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,13,"1,890","78,982","1,918,568",24.29,"8,330,001",105,1-00473-0030,35 CROSBY STREET,SOHO,C7-WALK-UP,14,"1,900","9,100","356,792",39.2,"1,790,000",197,0.05,1-00473-0031,37 CROSBY STREET,SOHO,C7-WALK-UP,13,"1,900","8,621","240,553",27.9,"1,150,000",133,0.05
1-00473-7503,1663-R1,425 BROOME STREET,1,10013,40.721323,-73.998828,2,1,45,"1,007,020","1,004,737,503",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,18,"1,874","27,023","740,952",27.4,"3,550,004",131,1-00372-0060,274 EAST 2 STREET,ALPHABET CITY,D7-ELEVATOR,103,"1,997","80,500","2,692,536",33.4,"12,900,000",160,1,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1-ELEVATOR,36,"1,910","11,967","389,334",32.5,"1,860,000",155,0.2
1-00474-7504,1185-R1,473 BROADWAY,1,10013,40.721266,-74.000314,2,1,47,"1,007,052","1,004,747,504",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,13,"1,894","35,452","921,752",26,"3,999,999",113,1-00473-0031,37 CROSBY STREET,SOHO,C7-WALK-UP,13,"1,900","8,621","240,553",27.9,"1,150,000",133,0.1,1-00481-0001,400 CLEVELAND PLACE,LITTLE ITALY,D6-ELEVATOR,113,"1,913","173,838","4,521,815",26,"19,600,000",113,0.2
1-00474-7505,1205-R1,475 BROADWAY,1,10013,40.721321,-74.000267,2,1,47,"1,007,051","1,004,747,505",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,14,"1,920","36,407","946,582",26,"4,110,000",113,1-00473-0031,37 CROSBY STREET,SOHO,C7-WALK-UP,13,"1,900","8,621","240,553",27.9,"1,150,000",133,0.1,1-00481-0001,400 CLEVELAND PLACE,LITTLE ITALY,D6-ELEVATOR,113,"1,913","173,838","4,521,815",26,"19,600,000",113,0.2
1-00474-7506,1654-R1,40 MERCER STREET,1,10013,40.721447,-74.00127,2,1,47,"1,087,559","1,004,747,506",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,41,"2,005","117,311","4,575,129",39,"22,899,994",195,1-00427-0030,93 EAST HOUSTON STREET,LOWER EAST SIDE,D9-ELEVATOR,362,"2,003","475,000","15,651,000",32.9,"75,000,000",158,0.45,1-00473-0029,33 CROSBY STREET,SOHO,C7-WALK-UP,14,"1,900","11,858","538,952",45.5,"2,700,000",228,0.1
1-00475-7503,916-R1,477 BROOME STREET,1,10013,40.722778,-74.001883,2,1,47,"1,007,077","1,004,757,503",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R9-CONDOPS,20,"1,920","32,149","803,725",25,"3,390,000",105,1-00491-0001,558 BROOME STREET,SOHO,C7-WALK-UP,25,"1,925","14,737","553,637",37.6,"2,780,000",189,0.25,1-00476-0019,116 6 AVENUE,SOHO,C7-WALK-UP,39,"1,900","27,042","1,075,000",39.8,"5,390,000",199,0.15
1-00475-7505,1010-R1,42 WOOSTER STREET,1,10013,40.72243,-74.00259,2,1,47,"1,079,905","1,004,757,505",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,14,"1,900","55,210","1,435,460",26,"6,230,003",113,1-00473-0031,37 CROSBY STREET,SOHO,C7-WALK-UP,13,"1,900","8,621","240,553",27.9,"1,150,000",133,0.2,1-00481-0001,400 CLEVELAND PLACE,LITTLE ITALY,D6-ELEVATOR,113,"1,913","173,838","4,521,815",26,"19,600,000",113,0.3
1-00478-7501,789-R1,354 BROOME STREET,1,10013,40.71983,-73.995141,2,1,41,"1,007,129","1,004,787,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,37,"1,900","56,714","1,417,850",25,"6,160,000",109,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,"1,900","49,408","1,935,888",39.2,"9,710,000",197,0.95,1-00343-0050,203 RIVINGTON STREET,LOWER EAST SIDE,D5-ELEVATOR,71,"1,906","99,911","1,865,388",18.67,"7,380,000",74,0.6
1-00481-7502,1363-R1,225 LAFAYETTE STREET,1,10012,40.721576,-73.997348,2,1,41,"1,007,197","1,004,817,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,41,"1,926","83,916","3,104,892",37,"15,599,998",186,1-00514-0005,142 WOOSTER STREET,SOHO,D7-ELEVATOR,12,"1,920","17,845","943,658",53,"4,730,000",265,0.3,1-00495-0022,249 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,76,"1,986","41,182","2,144,994",52,"10,800,000",262,0.1
1-00482-7502,1484-R1,210 LAFAYETTE STREET,1,10012,40.721735,-73.997633,2,1,45,"1,087,081","1,004,827,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,52,"2,005","73,057","2,231,670",30.5,"10,700,001",146,1-00494-0015,40 PRINCE STREET,LITTLE ITALY,D7-ELEVATOR,41,"1,900","45,990","1,808,321",39.3,"9,070,000",197,0.15,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,"1,991","92,088","4,090,844",44.4,"20,500,000",223,0.25
1-00492-7501,174-R1,14 PRINCE STREET,1,10012,40.722665,-73.994033,2,1,43,"1,007,413","1,004,927,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,44,"1,915","39,087","996,718",25.5,"4,330,007",111,1-00471-0018,169 MULBERRY STREET,LITTLE ITALY,C7-WALK-UP,21,"1,914","11,460","308,763",26.9,"1,480,000",129,0.2,1-00506-0016,30 CHARLTON STREET,SOHO,D1-ELEVATOR,86,"1,920","44,256","1,431,367",32.3,"6,860,000",155,0.65
1-00492-7503,665-R1,200 BOWERY,1,10012,40.72129,-73.993672,2,1,43,"1,084,745","1,004,927,503",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,35,"1,988","24,582","762,042",31,"3,650,009",148,1-00495-0033,229 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,62,"1,999","67,300","2,714,108",40.3,"13,600,000",202,0.15,1-00494-0015,40 PRINCE STREET,LITTLE ITALY,D7-ELEVATOR,41,"1,900","45,990","1,808,321",39.3,"9,070,000",197,0.1
1-00494-7502,596-R1,45 SPRING STREET,1,10012,40.721883,-73.996078,2,1,43,"1,075,962","1,004,947,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R9-CONDOPS,25,"1,900","12,142","303,550",25,"1,280,000",105,1-00452-0039,237 EAST 10 STREET,EAST VILLAGE,D1-ELEVATOR,28,"1,920","11,214","424,920",37.9,"2,130,000",190,0.7,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,"1,910","20,670","966,506",46.8,"4,850,000",235,0.35
1-00498-7501,131-R1,90 PRINCE STREET,1,10012,40.72451,-73.998358,2,1,49,"1,007,586","1,004,987,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,14,"1,900","18,031","459,790",25.5,"1,999,999",111,1-00488-0037,508 BROOME STREET,SOHO,D5-ELEVATOR,14,"1,900","21,598","777,850",36,"3,900,000",181,0.2,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,"1,910","20,670","966,506",46.8,"4,850,000",235,0.15
1-00499-7502,685-R1,114 GREENE STREET,1,10012,40.724623,-73.999657,2,1,49,"1,077,814","1,004,997,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,19,"1,988","34,876","889,338",25.5,"3,860,000",111,1-00514-0005,142 WOOSTER STREET,SOHO,D7-ELEVATOR,12,"1,920","17,845","943,658",53,"4,730,000",265,0.1,1-00467-0035,175 2 AVENUE,EAST VILLAGE,D9-ELEVATOR,64,"1,935","49,227","2,269,038",46.1,"11,400,000",232,0.8
1-00499-7505,1658-R1,92 GREENE STREET,1,10012,40.724074,-74.000119,2,1,49,"1,087,557","1,004,997,505",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,14,"2,005","42,823","1,847,000",43.1,"9,260,000",216,1-00468-0001,87 3 AVENUE,EAST VILLAGE,D7-ELEVATOR,121,"1,930","92,304","4,292,514",46.5,"21,500,000",233,0.85,1-00481-0019,54 SPRING STREET,LITTLE ITALY,D9-ELEVATOR,11,"1,998","13,973","726,974",52,"3,650,000",261,0.2
1-00500-7501,123-R1,116 WOOSTER STREET,1,10012,40.724894,-74.000498,2,1,49,"1,007,657","1,005,007,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,15,"1,907","20,752","526,063",25.3,"2,279,998",110,1-00465-0055,145 2 AVENUE,EAST VILLAGE,D9-ELEVATOR,27,"1,920","25,340","1,103,234",43.5,"5,530,000",218,0.75,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,"1,910","20,670","966,506",46.8,"4,850,000",235,0.05
1-00500-7502,284-R1,93 GREENE STREET,1,10012,40.724153,-74.000079,2,1,49,"1,007,673","1,005,007,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,29,"1,900","36,223","869,352",24,"3,770,009",104,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,"1,910","20,670","966,506",46.8,"4,850,000",235,0.05,1-00465-0055,145 2 AVENUE,EAST VILLAGE,D9-ELEVATOR,27,"1,920","25,340","1,103,234",43.5,"5,530,000",218,0.75
1-00500-7505,1241-R1,103 GREENE STREET,1,10012,40.724436,-73.999841,2,1,49,,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,12,"1,879","34,968","1,470,000",42,"7,369,998",211,1-00481-0019,54 SPRING STREET,LITTLE ITALY,D9-ELEVATOR,11,"1,998","13,973","726,974",52,"3,650,000",261,0.25,1-00468-0001,87 3 AVENUE,EAST VILLAGE,D7-ELEVATOR,121,"1,930","92,304","4,292,514",46.5,"21,500,000",233,0.85
1-00501-7501,1199-R1,105 WOOSTER STREET,1,10012,40.724636,-74.000743,2,1,49,"1,007,713","1,005,017,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,15,"1,920","31,967","900,000",28.2,"4,310,000",135,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,"1,910","20,670","966,506",46.8,"4,850,000",235,0,1-00506-0016,30 CHARLTON STREET,SOHO,D1-ELEVATOR,86,"1,920","44,256","1,431,367",32.3,"6,860,000",155,0.2
1-00502-7501,135-R1,426 WEST BROADWAY,1,10012,40.725191,-74.001403,2,1,49,"1,007,740","1,005,027,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,35,"1,900","34,821","905,346",26,"3,929,998",113,1-00514-0005,142 WOOSTER STREET,SOHO,D7-ELEVATOR,12,"1,920","17,845","943,658",53,"4,730,000",265,0.15,1-00467-0035,175 2 AVENUE,EAST VILLAGE,D9-ELEVATOR,64,"1,935","49,227","2,269,038",46.1,"11,400,000",232,0.85
1-00507-7501,535-R1,11 PRINCE STREET,1,10012,40.722611,-73.993856,2,1,43,"1,075,964","1,005,077,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,22,"1,900","22,511","570,653",25.3,"2,480,000",110,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,"1,910","20,670","966,506",46.8,"4,850,000",235,0.4,1-00465-0055,145 2 AVENUE,EAST VILLAGE,D9-ELEVATOR,27,"1,920","25,340","1,103,234",43.5,"5,530,000",218,0.5
1-00508-7501,527-R1,259 ELIZABETH STREET,1,10012,40.723645,-73.993787,2,1,43,"1,075,966","1,005,087,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,26,"1,987","17,117","530,627",31,"2,539,996",148,1-00465-0055,145 2 AVENUE,EAST VILLAGE,D9-ELEVATOR,27,"1,920","25,340","1,103,234",43.5,"5,530,000",218,0.5,1-00495-0022,249 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,76,"1,986","41,182","2,144,994",52,"10,800,000",262,0.15
1-00510-7501,1065-R1,285 LAFAYETTE STREET,1,10012,40.724126,-73.9961,2,1,43,"1,007,931","1,005,107,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,29,"1,900","97,941","3,134,112",32,"12,667,001",129,1-00466-0005,55 3 AVENUE,EAST VILLAGE,D7-ELEVATOR,57,"1,986","71,356","2,353,178",33,"11,300,000",158,0.6,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,"1,991","92,088","4,090,844",44.4,"20,500,000",223,0.1
1-00512-7501,75-R1,583 BROADWAY,1,10012,40.724694,-73.99741,2,1,49,"1,007,955","1,005,127,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,21,"1,900","107,781","3,125,649",29,"15,000,003",139,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,"1,991","92,088","4,090,844",44.4,"20,500,000",223,0.2,1-00466-0005,55 3 AVENUE,EAST VILLAGE,D7-ELEVATOR,57,"1,986","71,356","2,353,178",33,"11,300,000",158,0.65
